video başlığı,YouTube URL,video ID,kanal,tarih,dil,altyazı türü,TXT dosyası
"""30 Yıl Önce Kapıyı Açan Çocuk..."" - Mehmet Akar",https://www.youtube.com/watch?v=KkGtTlemdk0,KkGtTlemdk0,Nur Neva ,2023-12-22,tr,otomatik,405_30_Yıl_Önce_Kapıyı_Açan_Çocuk..._Mehmet_Akar.txt
"""Necip Fazıl Vefat Ettiği Gün, Hocaefendi..."" - Nevzat Ayvacı",https://www.youtube.com/watch?v=y1aGOFyr1FU,y1aGOFyr1FU,Nur Neva ,2023-12-16,tr,otomatik,"406_Necip_Fazıl_Vefat_Ettiği_Gün,_Hocaefendi..._Nevzat_Ayvacı.txt"
"""Bu Hadise Bir Devletin Başına Gelseydi..."" - Faruk Mercan",https://www.youtube.com/watch?v=PUyaIC1Y888,PUyaIC1Y888,Nur Neva ,2023-12-16,tr,otomatik,407_Bu_Hadise_Bir_Devletin_Başına_Gelseydi..._Faruk_Mercan.txt
"""Kamplar Belki de..."" - Faruk Mercan",https://www.youtube.com/watch?v=4PAA0R6w7UU,4PAA0R6w7UU,Nur Neva ,2023-12-16,tr,otomatik,408_Kamplar_Belki_de..._Faruk_Mercan.txt
"""Muhterem Hocaefendi Hep Yeni..."" - Faruk Mercan",https://www.youtube.com/watch?v=K8WhulSuacE,K8WhulSuacE,Nur Neva ,2023-12-16,tr,otomatik,409_Muhterem_Hocaefendi_Hep_Yeni..._Faruk_Mercan.txt
"""Mustafa Sungur Abi'nin Gözleri Doldu"" - Nevzat Ayvacı",https://www.youtube.com/watch?v=8B7-Z_e2w8g,8B7-Z_e2w8g,Nur Neva ,2023-12-16,tr,otomatik,410_Mustafa_Sungur_Abi'nin_Gözleri_Doldu_Nevzat_Ayvacı.txt
"""Üstad Kabrine Gelip..."" - Nevzat Ayvacı",https://www.youtube.com/watch?v=N4C8m-ptVoI,N4C8m-ptVoI,Nur Neva ,2023-12-16,tr,otomatik,411_Üstad_Kabrine_Gelip..._Nevzat_Ayvacı.txt
"""Kolumuz Kanadımız Kırılsa Dahi..."" - Prof. Dr. Yunus Serin",https://www.youtube.com/watch?v=u5aZGBAKnio,u5aZGBAKnio,Nur Neva ,2023-12-15,tr,otomatik,412_Kolumuz_Kanadımız_Kırılsa_Dahi..._Prof._Dr._Yunus_Serin.txt
"""Katil olabileceğini..."" - Nevzat Ayvacı",https://www.youtube.com/watch?v=odTA_EZVIRE,odTA_EZVIRE,Nur Neva ,2023-12-14,tr,otomatik,413_Katil_olabileceğini..._Nevzat_Ayvacı.txt
"""Hocam, bundan ne kastediyorsunuz deyince..."" - Prof. Dr. Yunus Serin",https://www.youtube.com/watch?v=2AQKSu5aEUA,2AQKSu5aEUA,Nur Neva ,2023-12-14,tr,otomatik,"414_Hocam,_bundan_ne_kastediyorsunuz_deyince..._Prof._Dr._Yunus_Serin.txt"
"""Muhterem Hocaefendi: Ben Bir Olay Olmadan Önce..."" - Prof. Dr. Yunus Serin",https://www.youtube.com/watch?v=JATV-zBQbHU,JATV-zBQbHU,Nur Neva ,2023-12-14,tr,otomatik,415_Muhterem_Hocaefendi_Ben_Bir_Olay_Olmadan_Önce..._Prof._Dr._Yunus_Serin.txt
"""Birkaç Doktoralık Müthiş..."" - Faruk Mercan",https://www.youtube.com/watch?v=OS6Uk2HOgYs,OS6Uk2HOgYs,Nur Neva ,2023-12-04,tr,otomatik,416_Birkaç_Doktoralık_Müthiş..._Faruk_Mercan.txt
"""Muhterem Hocaefendi: Ben Sizleri Almadan Gitmem"" - Aysal Aytaç",https://www.youtube.com/watch?v=VBOB9Rv2vk0,VBOB9Rv2vk0,Nur Neva ,2023-12-03,tr,otomatik,417_Muhterem_Hocaefendi_Ben_Sizleri_Almadan_Gitmem_Aysal_Aytaç.txt
"""Risalelerle Beraber Okunursa..."" - Faruk Mercan",https://www.youtube.com/watch?v=tgHZLpIvf20,tgHZLpIvf20,Nur Neva ,2023-12-03,tr,otomatik,418_Risalelerle_Beraber_Okunursa..._Faruk_Mercan.txt
"""Bu Şekilde Dua Edilirse..."" - Faruk Mercan",https://www.youtube.com/watch?v=mirImne4zlE,mirImne4zlE,Nur Neva ,2023-12-03,tr,otomatik,419_Bu_Şekilde_Dua_Edilirse..._Faruk_Mercan.txt
"""Eğer 5-10 Kişi..."" - Faruk Mercan",https://www.youtube.com/watch?v=8T2AbcXC55E,8T2AbcXC55E,Nur Neva ,2023-12-03,tr,otomatik,420_Eğer_5_10_Kişi..._Faruk_Mercan.txt
"""Ben Vefat Edersem Benim Yerime..."" - Faruk Mercan",https://www.youtube.com/watch?v=Q2T8n88lgHI,Q2T8n88lgHI,Nur Neva ,2023-12-03,tr,otomatik,421_Ben_Vefat_Edersem_Benim_Yerime..._Faruk_Mercan.txt
"""Hocaefendi, Mehmet Akif Ersoy ..."" - Faruk Mercan",https://www.youtube.com/watch?v=nQvd9nCNfF4,nQvd9nCNfF4,Nur Neva ,2023-12-02,tr,otomatik,"422_Hocaefendi,_Mehmet_Akif_Ersoy_..._Faruk_Mercan.txt"
"""Hocaefendi, Nurettin Topçu İçin..."" - Faruk Mercan (Bilgiler açıklama kısmında)",https://www.youtube.com/watch?v=Yaw3w67pBN4,Yaw3w67pBN4,Nur Neva ,2023-12-02,tr,otomatik,"423_Hocaefendi,_Nurettin_Topçu_İçin..._Faruk_Mercan_(Bilgiler_açıklama_kısmında).txt"
"""Rüyanın Ortasında Telefon Çalınca Bekir Berk Ağabey..."" - Nevzat Ayvacı",https://www.youtube.com/watch?v=gAqVWKNBGdI,gAqVWKNBGdI,Nur Neva ,2023-12-01,tr,otomatik,424_Rüyanın_Ortasında_Telefon_Çalınca_Bekir_Berk_Ağabey..._Nevzat_Ayvacı.txt
"""Üzerlerinde Taşıdıkları Cevşenlerin Çoğu..."" - Adem Akıncı",https://www.youtube.com/watch?v=0JXi48TtPUk,0JXi48TtPUk,Nur Neva ,2023-12-01,tr,otomatik,425_Üzerlerinde_Taşıdıkları_Cevşenlerin_Çoğu..._Adem_Akıncı.txt
"""Muhterem Hocaefendi'nin Üzerinde Taşıdığı..."" - Adem Akıncı",https://www.youtube.com/watch?v=cp7SLUQwNak,cp7SLUQwNak,Nur Neva ,2023-12-01,tr,otomatik,426_Muhterem_Hocaefendi'nin_Üzerinde_Taşıdığı..._Adem_Akıncı.txt
"""Çekindikleri İçin İlişemediler"" - Nevzat Ayvacı",https://www.youtube.com/watch?v=YgzAX_sCEyw,YgzAX_sCEyw,Nur Neva ,2023-12-01,tr,otomatik,427_Çekindikleri_İçin_İlişemediler_Nevzat_Ayvacı.txt
"""1953'te İlk Defa Teksir Makinasıyla..."" - Adem Akıncı",https://www.youtube.com/watch?v=SVPy01JLryk,SVPy01JLryk,Nur Neva ,2023-12-01,tr,otomatik,428_1953'te_İlk_Defa_Teksir_Makinasıyla..._Adem_Akıncı.txt
"""Üstad Bediüzzaman, Eşref Edip'e ..."" - Adem Akıncı",https://www.youtube.com/watch?v=dzEdAHnntus,dzEdAHnntus,Nur Neva ,2023-12-01,tr,otomatik,"429_Üstad_Bediüzzaman,_Eşref_Edip'e_..._Adem_Akıncı.txt"
"""Tam da 23 Senede..."" - Adem Akıncı",https://www.youtube.com/watch?v=9ejpVazHJD8,9ejpVazHJD8,Nur Neva ,2023-12-01,tr,otomatik,430_Tam_da_23_Senede..._Adem_Akıncı.txt
"""Risalelerin Yazdırılması da Yazdırılmaması da İzinle"" - Adem Akıncı",https://www.youtube.com/watch?v=q9VrfOaUOCQ,q9VrfOaUOCQ,Nur Neva ,2023-12-01,tr,otomatik,431_Risalelerin_Yazdırılması_da_Yazdırılmaması_da_İzinle_Adem_Akıncı.txt
"""Üstad Önceden Biliyordu Ve Şiirinde..."" - Adem Akıncı",https://www.youtube.com/watch?v=WMGSnE6KcV0,WMGSnE6KcV0,Nur Neva ,2023-12-01,tr,otomatik,432_Üstad_Önceden_Biliyordu_Ve_Şiirinde..._Adem_Akıncı.txt
"""Üstad'ın da Zübeyir Ağabey'in de Cenazesinde..."" - Adem Akıncı",https://www.youtube.com/watch?v=1r_Oe_124nE,1r_Oe_124nE,Nur Neva ,2023-12-01,tr,otomatik,433_Üstad'ın_da_Zübeyir_Ağabey'in_de_Cenazesinde..._Adem_Akıncı.txt
"""Bediüzzaman'ı Çöp Arabasına Deyince..."" - Adem Akıncı",https://www.youtube.com/watch?v=-F_9QsJgxZk,-F_9QsJgxZk,Nur Neva ,2023-12-01,tr,otomatik,434_Bediüzzaman'ı_Çöp_Arabasına_Deyince..._Adem_Akıncı.txt
"""Talebelerim İçinde En Son Sen..."" - Adem Akıncı",https://www.youtube.com/watch?v=TW-IJhDPjTQ,TW-IJhDPjTQ,Nur Neva ,2023-12-01,tr,otomatik,435_Talebelerim_İçinde_En_Son_Sen..._Adem_Akıncı.txt
"""Üstad'ın Kabri Tam 4 Defa..."" - Adem Akıncı",https://www.youtube.com/watch?v=9HjJ-c6lQ0w,9HjJ-c6lQ0w,Nur Neva ,2023-12-01,tr,otomatik,436_Üstad'ın_Kabri_Tam_4_Defa..._Adem_Akıncı.txt
""" Üstad'ın Talebelerine Saygıyı Biz Hocaefendi'de..."" - Faruk Mercan",https://www.youtube.com/watch?v=tn9BGx_rzV4,tn9BGx_rzV4,Nur Neva ,2023-11-30,tr,otomatik,437_Üstad'ın_Talebelerine_Saygıyı_Biz_Hocaefendi'de..._Faruk_Mercan.txt
"""... Herkesten Öte Annem..."" - Faruk Mercan",https://www.youtube.com/watch?v=UeQjzYhQprU,UeQjzYhQprU,Nur Neva ,2023-11-30,tr,otomatik,438_..._Herkesten_Öte_Annem..._Faruk_Mercan.txt
"""Günümüzde İlahilerin Bile..."" - Faruk Mercan",https://www.youtube.com/watch?v=itxfPwnAsmg,itxfPwnAsmg,Nur Neva ,2023-11-30,tr,otomatik,439_Günümüzde_İlahilerin_Bile..._Faruk_Mercan.txt
"""Hocaefendi'nin İkbal'den Bahseden Vaazını Urduca Altyazıyla..."" - Faruk Mercan",https://www.youtube.com/watch?v=mDTl62wc5bs,mDTl62wc5bs,Nur Neva ,2023-11-30,tr,otomatik,440_Hocaefendi'nin_İkbal'den_Bahseden_Vaazını_Urduca_Altyazıyla..._Faruk_Mercan.txt
"Muhammed İkbal: ""Yok mu İçinizden..."" - Faruk Mercan",https://www.youtube.com/watch?v=mryL-0uNtEY,mryL-0uNtEY,Nur Neva ,2023-11-30,tr,otomatik,441_Muhammed_İkbal_Yok_mu_İçinizden..._Faruk_Mercan.txt
"""Muhammed İkbal'in Torununun Mektubunu Hocaefendi'ye..."" - Faruk Mercan",https://www.youtube.com/watch?v=mjLLe80RjOc,mjLLe80RjOc,Nur Neva ,2023-11-30,tr,otomatik,442_Muhammed_İkbal'in_Torununun_Mektubunu_Hocaefendi'ye..._Faruk_Mercan.txt
"""Eğer Ayhan Songar, Necip Fazıl'a..."" - Faruk Mercan",https://www.youtube.com/watch?v=so6K2mEIPuU,so6K2mEIPuU,Nur Neva ,2023-11-30,tr,otomatik,"443_Eğer_Ayhan_Songar,_Necip_Fazıl'a..._Faruk_Mercan.txt"
""".... Sonra Dünya Klasiklerini En Çok Ben..."" - Salih Öz Abi",https://www.youtube.com/watch?v=NDD_9yOznUk,NDD_9yOznUk,Nur Neva ,2023-11-30,tr,otomatik,444_...._Sonra_Dünya_Klasiklerini_En_Çok_Ben..._Salih_Öz_Abi.txt
"""... Yazmaya Başladım Ama Notlarım Kayboldu"" - Faruk Mercan",https://www.youtube.com/watch?v=5nl6wJ300b4,5nl6wJ300b4,Nur Neva ,2023-11-30,tr,otomatik,445_..._Yazmaya_Başladım_Ama_Notlarım_Kayboldu_Faruk_Mercan.txt
"""İki Çanta Dolusu..."" - Faruk Mercan",https://www.youtube.com/watch?v=IXzE8k-6y5Q,IXzE8k-6y5Q,Nur Neva ,2023-11-30,tr,otomatik,446_İki_Çanta_Dolusu..._Faruk_Mercan.txt
"""... O Yaşasın"" - Faruk Mercan",https://www.youtube.com/watch?v=nX1TxJE2-zU,nX1TxJE2-zU,Nur Neva ,2023-11-30,tr,otomatik,447_..._O_Yaşasın_Faruk_Mercan.txt
"""Gelsin Başımıza Geçsin, Biz de O'na..."" - Faruk Mercan",https://www.youtube.com/watch?v=SPC433zeXQw,SPC433zeXQw,Nur Neva ,2023-11-30,tr,otomatik,"448_Gelsin_Başımıza_Geçsin,_Biz_de_O'na..._Faruk_Mercan.txt"
"""Ben Ne Dersem Kadın Hep..."" - Faruk Mercan",https://www.youtube.com/watch?v=K6_e_XPrOyg,K6_e_XPrOyg,Nur Neva ,2023-11-30,tr,otomatik,449_Ben_Ne_Dersem_Kadın_Hep..._Faruk_Mercan.txt
"""Sanat  Şimdi Giderek ve Gelecekte..."" - Ayhan Tekineş",https://www.youtube.com/watch?v=qmMCL3PAzuc,qmMCL3PAzuc,Nur Neva ,2023-11-27,tr,otomatik,450_Sanat_Şimdi_Giderek_ve_Gelecekte..._Ayhan_Tekineş.txt
"""Eserleri Taradığımızda Bu Kelime..."" - Ayhan Tekineş",https://www.youtube.com/watch?v=k25ilnw25H8,k25ilnw25H8,Nur Neva ,2023-11-27,tr,otomatik,451_Eserleri_Taradığımızda_Bu_Kelime..._Ayhan_Tekineş.txt
"""Şimdi En Önemli Yiğitlik Psikolojik Sağlığı..."" - Ayhan Tekineş",https://www.youtube.com/watch?v=q8XYIrlDs18,q8XYIrlDs18,Nur Neva ,2023-11-27,tr,otomatik,452_Şimdi_En_Önemli_Yiğitlik_Psikolojik_Sağlığı..._Ayhan_Tekineş.txt
"""Berber Öyle Deyince Ben de..."" - Muhsin Çelebi",https://www.youtube.com/watch?v=aPczp0QjZ10,aPczp0QjZ10,Nur Neva ,2023-11-25,tr,otomatik,453_Berber_Öyle_Deyince_Ben_de..._Muhsin_Çelebi.txt
'Felsefenin Bencesi' ve Ferîd el-Ensârî - Faruk Mercan,https://www.youtube.com/watch?v=BiP4tjSN3ak,BiP4tjSN3ak,Nur Neva ,2023-11-25,tr,otomatik,454_'Felsefenin_Bencesi'_ve_Ferîd_el_Ensârî_Faruk_Mercan.txt
"""Müslüman Görünümlü Ama..."" - Faruk Mercan",https://www.youtube.com/watch?v=jpHKZw2njM0,jpHKZw2njM0,Nur Neva ,2023-11-25,tr,otomatik,455_Müslüman_Görünümlü_Ama..._Faruk_Mercan.txt
"""1000'lere Tekabül Edecek 1'ler Olmalıyız"" - Faruk Mercan",https://www.youtube.com/watch?v=S4nSUz5C1I8,S4nSUz5C1I8,Nur Neva ,2023-11-25,tr,otomatik,456_1000'lere_Tekabül_Edecek_1'ler_Olmalıyız_Faruk_Mercan.txt
"""Evvela..."" - Faruk Mercan (Eserlerin Listesi Açıklamada)",https://www.youtube.com/watch?v=mL8MQ2E4MLg,mL8MQ2E4MLg,Nur Neva ,2023-11-25,tr,otomatik,457_Evvela..._Faruk_Mercan_(Eserlerin_Listesi_Açıklamada).txt
"""Bunu bir daha söylersem..."" - Faruk Mercan",https://www.youtube.com/watch?v=37er6SNYrG0,37er6SNYrG0,Nur Neva ,2023-11-25,tr,otomatik,458_Bunu_bir_daha_söylersem..._Faruk_Mercan.txt
"""Muhterem Hocaefendi Ziyarete Gittiği Her Yerde Burayı Okurdu"" - Sadettin Başer",https://www.youtube.com/watch?v=hkc8-YrR6RE,hkc8-YrR6RE,Nur Neva ,2023-11-24,tr,otomatik,459_Muhterem_Hocaefendi_Ziyarete_Gittiği_Her_Yerde_Burayı_Okurdu_Sadettin_Başer.txt
"""Tam da O Günlerde Hocaefendi, Ahmet Kurucan'ı Yanına Çağırır Ve..."" - Faruk Mercan",https://www.youtube.com/watch?v=gP_EU45aAWA,gP_EU45aAWA,Nur Neva ,2023-11-23,tr,otomatik,"460_Tam_da_O_Günlerde_Hocaefendi,_Ahmet_Kurucan'ı_Yanına_Çağırır_Ve..._Faruk_Mercan.txt"
"'Acıyorum' Hocaefendi'nin Aurası, Henüz Türkçe'de Olmayan Kitabı, Teologlardan Farkı - Faruk Mercan",https://www.youtube.com/watch?v=CiapQwS5MXE,CiapQwS5MXE,Nur Neva ,2023-11-22,tr,otomatik,"461_'Acıyorum'_Hocaefendi'nin_Aurası,_Henüz_Türkçe'de_Olmayan_Kitabı,_Teologlardan_F.txt"
"""Kaç Defa Zehirlendim Ama Mecmuatü'l Ahzab..."" - Faruk Mercan",https://www.youtube.com/watch?v=0TJxSd7aRZk,0TJxSd7aRZk,Nur Neva ,2023-11-22,tr,otomatik,462_Kaç_Defa_Zehirlendim_Ama_Mecmuatü'l_Ahzab..._Faruk_Mercan.txt
Muhammed Küfrevi'den Bediüzzaman'a Alvarlı Efe'den Muhterem Hocaefendi'ye - Faruk Mercan,https://www.youtube.com/watch?v=czx8ssg76Ps,czx8ssg76Ps,Nur Neva ,2023-11-22,tr,otomatik,463_Muhammed_Küfrevi'den_Bediüzzaman'a_Alvarlı_Efe'den_Muhterem_Hocaefendi'ye_Faruk.txt
"""Bediüzzaman İmkansızlıkta Global Dağıtım Ağı Kurduysa Şimdi..."" - Faruk Mercan",https://www.youtube.com/watch?v=tuSBHAaFKLw,tuSBHAaFKLw,Nur Neva ,2023-11-22,tr,otomatik,464_Bediüzzaman_İmkansızlıkta_Global_Dağıtım_Ağı_Kurduysa_Şimdi..._Faruk_Mercan.txt
Subjektif Mükellefiyet Nedir - Seyid Nurfethi Erkal,https://www.youtube.com/watch?v=ZDIx626WOnY,ZDIx626WOnY,Nur Neva ,2023-11-22,tr,otomatik,465_Subjektif_Mükellefiyet_Nedir_Seyid_Nurfethi_Erkal.txt
Hemen Şimdi Yapabileceğiniz Yükde Hafif Pahada Ağır Bir Hizmet - Faruk Mercan (Liste açıklamada),https://www.youtube.com/watch?v=Znp9jUX3_MI,Znp9jUX3_MI,Nur Neva ,2023-11-21,tr,otomatik,466_Hemen_Şimdi_Yapabileceğiniz_Yükde_Hafif_Pahada_Ağır_Bir_Hizmet_Faruk_Mercan_(Lis.txt
"""Muhterem Hocaefendi'ye Destek Olmak İsterseniz Evliyaların..."" - Seyid Nurfethi Erkal",https://www.youtube.com/watch?v=B5DI-UuYL5c,B5DI-UuYL5c,Nur Neva ,2023-11-21,tr,otomatik,467_Muhterem_Hocaefendi'ye_Destek_Olmak_İsterseniz_Evliyaların..._Seyid_Nurfethi_Erk.txt
"""Muhterem Hocaefendi: Bu Musibetler Başımıza Geldi Ama..."" ""Bu bir fırsat"" - Faruk Mercan",https://www.youtube.com/watch?v=xomxqpEojUQ,xomxqpEojUQ,Nur Neva ,2023-11-21,tr,otomatik,468_Muhterem_Hocaefendi_Bu_Musibetler_Başımıza_Geldi_Ama..._Bu_bir_fırsat_Faruk_Merc.txt
Muhterem Hocaefendi'nin Global Ufku ve Yapmamız Gerekenler - Faruk Mercan,https://www.youtube.com/watch?v=Q3OrWrgulGQ,Q3OrWrgulGQ,Nur Neva ,2023-11-20,tr,otomatik,469_Muhterem_Hocaefendi'nin_Global_Ufku_ve_Yapmamız_Gerekenler_Faruk_Mercan.txt
Muhterem Hocaefendi'nin Bir Günü - Faruk Mercan,https://www.youtube.com/watch?v=HLRh2_IgqBA,HLRh2_IgqBA,Nur Neva ,2023-11-20,tr,otomatik,470_Muhterem_Hocaefendi'nin_Bir_Günü_Faruk_Mercan.txt
"""Mübalağa Olmasın"" ""Hikayenin Gücü"" - Muhterem Hocaefendi - Faruk Mercan",https://www.youtube.com/watch?v=7F3JSbiasUs,7F3JSbiasUs,Nur Neva ,2023-11-20,tr,otomatik,471_Mübalağa_Olmasın_Hikayenin_Gücü_Muhterem_Hocaefendi_Faruk_Mercan.txt
Muhterem Hocaefendi: Ben İlkokul Mezunuyum - Faruk Mercan,https://www.youtube.com/watch?v=iNZIEjbJdjg,iNZIEjbJdjg,Nur Neva ,2023-11-20,tr,otomatik,472_Muhterem_Hocaefendi_Ben_İlkokul_Mezunuyum_Faruk_Mercan.txt
"""Hocaefendi'ye düşmanlık edenler O'nun tam zıddı"" - Faruk Mercan",https://www.youtube.com/watch?v=ENaj4NQdB-8,ENaj4NQdB-8,Nur Neva ,2023-11-19,tr,otomatik,473_Hocaefendi'ye_düşmanlık_edenler_O'nun_tam_zıddı_Faruk_Mercan.txt
Muhterem Hocaefendi'nin Hafızası - Faruk Mercan,https://www.youtube.com/watch?v=gcGiZp4OxP0,gcGiZp4OxP0,Nur Neva ,2023-11-19,tr,otomatik,474_Muhterem_Hocaefendi'nin_Hafızası_Faruk_Mercan.txt
"""Benim için ne kadar ayıp ki Hocaefendi'yi..."" - Faruk Mercan",https://www.youtube.com/watch?v=3aLiR05P88k,3aLiR05P88k,Nur Neva ,2023-11-19,tr,otomatik,475_Benim_için_ne_kadar_ayıp_ki_Hocaefendi'yi..._Faruk_Mercan.txt
"""Muhterem Hocaefendi: Bana bugüne kadar sorulmayan soruları Jill Carroll sordu"" - Faruk Mercan",https://www.youtube.com/watch?v=olwhfaggNrk,olwhfaggNrk,Nur Neva ,2023-11-19,tr,otomatik,476_Muhterem_Hocaefendi_Bana_bugüne_kadar_sorulmayan_soruları_Jill_Carroll_sordu_Far.txt
"""Edward Luttwak: Bu Fethullah Gülen'e Karşı Savaşıdır"" - Faruk Mercan",https://www.youtube.com/watch?v=jH1MfXcC_x0,jH1MfXcC_x0,Nur Neva ,2023-11-19,tr,otomatik,477_Edward_Luttwak_Bu_Fethullah_Gülen'e_Karşı_Savaşıdır_Faruk_Mercan.txt
Problemlerimizi Çözmede Bu Tavır Sonuç Getirir - Mustafa Yılmaz,https://www.youtube.com/watch?v=1ov26HA4XX8,1ov26HA4XX8,Nur Neva ,2023-11-18,tr,otomatik,478_Problemlerimizi_Çözmede_Bu_Tavır_Sonuç_Getirir_Mustafa_Yılmaz.txt
Muhterem Hocaefendi'nin Şöminede Yakmak İstediği Makalesi - Cemal Türk,https://www.youtube.com/watch?v=_vkWvPm-3oQ,_vkWvPm-3oQ,Nur Neva ,2023-11-15,tr,otomatik,479_Muhterem_Hocaefendi'nin_Şöminede_Yakmak_İstediği_Makalesi_Cemal_Türk.txt
İmam-ı Rabbani'den... - Cemal Türk,https://www.youtube.com/watch?v=2GrVPv0jP_Q,2GrVPv0jP_Q,Nur Neva ,2023-11-13,tr,otomatik,480_İmam_ı_Rabbani'den..._Cemal_Türk.txt
"""Ben Açtım Beni Doyurmadınız!"" - Prof. Dr. Muhittin Akgül",https://www.youtube.com/watch?v=9AKggZGSQNQ,9AKggZGSQNQ,Nur Neva ,2023-11-12,tr,otomatik,481_Ben_Açtım_Beni_Doyurmadınız!_Prof._Dr._Muhittin_Akgül.txt
Alacağından Vazgeçme / Borcu Erteleme - Prof. Dr. Muhittin Akgül,https://www.youtube.com/watch?v=h6aBtddG-gA,h6aBtddG-gA,Nur Neva ,2023-11-12,tr,otomatik,482_Alacağından_Vazgeçme_Borcu_Erteleme_Prof._Dr._Muhittin_Akgül.txt
Daha İstemeden İhtiyaç Sahibini Hissedip Verme - Prof. Dr. Muhittin Akgül,https://www.youtube.com/watch?v=cZ0PEq3KLHg,cZ0PEq3KLHg,Nur Neva ,2023-11-12,tr,otomatik,483_Daha_İstemeden_İhtiyaç_Sahibini_Hissedip_Verme_Prof._Dr._Muhittin_Akgül.txt
Dijital Dünyadaki İffet Babayiğitliği de Müjdelere Dahildir - Prof. Dr. Muhittin Akgül,https://www.youtube.com/watch?v=PcFq4Io9h8E,PcFq4Io9h8E,Nur Neva ,2023-11-12,tr,otomatik,484_Dijital_Dünyadaki_İffet_Babayiğitliği_de_Müjdelere_Dahildir_Prof._Dr._Muhittin_A.txt
Kelimeler İnsan Psikolojisine Tesir Eder mi? Muhterem Hocaefendi'nin Hasan Libas Abiyle Bir Hatırası,https://www.youtube.com/watch?v=vrpd44-DDbw,vrpd44-DDbw,Nur Neva ,2023-11-12,tr,otomatik,485_Kelimeler_İnsan_Psikolojisine_Tesir_Eder_mi_Muhterem_Hocaefendi'nin_Hasan_Libas.txt
Muhterem Hocaefendi Hala Her Gün Sözlük Kullanmaya Devam Ediyor - Cemal Türk,https://www.youtube.com/watch?v=iILjYOiK3V0,iILjYOiK3V0,Nur Neva ,2023-11-12,tr,otomatik,486_Muhterem_Hocaefendi_Hala_Her_Gün_Sözlük_Kullanmaya_Devam_Ediyor_Cemal_Türk.txt
"40. Yaş, Zülfü Livaneli ve Bediüzzaman'ın Dehası - M. Nedim Hazar",https://www.youtube.com/watch?v=qMVQstnB-L0,qMVQstnB-L0,Nur Neva ,2023-11-11,tr,otomatik,"487_40._Yaş,_Zülfü_Livaneli_ve_Bediüzzaman'ın_Dehası_M._Nedim_Hazar.txt"
Neticeden Değil Anlatabilmekten Sorumlusun - M. Nedim Hazar,https://www.youtube.com/watch?v=hDw81TojTSc,hDw81TojTSc,Nur Neva ,2023-11-11,tr,otomatik,488_Neticeden_Değil_Anlatabilmekten_Sorumlusun_M._Nedim_Hazar.txt
30 Kere Okumayla Açılacak Sırlara 29'da Ulaşılmaz - Tekrarın Ehemmiyeti  - M. Nedim Hazar,https://www.youtube.com/watch?v=uyycRwWjPmU,uyycRwWjPmU,Nur Neva ,2023-11-11,tr,otomatik,489_30_Kere_Okumayla_Açılacak_Sırlara_29'da_Ulaşılmaz_Tekrarın_Ehemmiyeti_M._Nedim_H.txt
Terminatör 2 ve Zilzal Süresi - Yeni Öğrenilen Dilin Anlayışa Etkisi - M. Nedim Hazar,https://www.youtube.com/watch?v=O7TS_WwdAGg,O7TS_WwdAGg,Nur Neva ,2023-11-11,tr,otomatik,490_Terminatör_2_ve_Zilzal_Süresi_Yeni_Öğrenilen_Dilin_Anlayışa_Etkisi_M._Nedim_Haza.txt
Yalnızca Yabancı Dil Değil  İnternet/Teknoloji/Bilim/Sanat Dilleri - M. Nedim Hazar,https://www.youtube.com/watch?v=eDz_hl1vohs,eDz_hl1vohs,Nur Neva ,2023-11-11,tr,otomatik,491_Yalnızca_Yabancı_Dil_Değil_İnternet_Teknoloji_Bilim_Sanat_Dilleri_M._Nedim_Hazar.txt
"""Muallimleri Değil Onları Dinleyiniz"" Herşey Mürşiddir - M. Nedim Hazar",https://www.youtube.com/watch?v=gvDOUUfrxR8,gvDOUUfrxR8,Nur Neva ,2023-11-11,tr,otomatik,492_Muallimleri_Değil_Onları_Dinleyiniz_Herşey_Mürşiddir_M._Nedim_Hazar.txt
Mağlup Edilemeyen: Bediüzzaman'ı Yenemezsiniz - M. Nedim Hazar,https://www.youtube.com/watch?v=HKgmegUwbOI,HKgmegUwbOI,Nur Neva ,2023-11-11,tr,otomatik,493_Mağlup_Edilemeyen_Bediüzzaman'ı_Yenemezsiniz_M._Nedim_Hazar.txt
Bediüzzaman'ın Eğitim Modelinin Anlaşılmasına Daha 100 Yıl Var - M. Nedim Hazar,https://www.youtube.com/watch?v=jDPnPfHe35I,jDPnPfHe35I,Nur Neva ,2023-11-11,tr,otomatik,494_Bediüzzaman'ın_Eğitim_Modelinin_Anlaşılmasına_Daha_100_Yıl_Var_M._Nedim_Hazar.txt
Bu Süreci Yaşadığım İçin Oh Demiyorum Ama Pişman Değilim... Bireysel Rönesans Devri - M. Nedim Hazar,https://www.youtube.com/watch?v=N3tqUixAUm0,N3tqUixAUm0,Nur Neva ,2023-11-10,tr,otomatik,495_Bu_Süreci_Yaşadığım_İçin_Oh_Demiyorum_Ama_Pişman_Değilim..._Bireysel_Rönesans_De.txt
Atlantis'in Yetimi HİZMET ve Kapadokya - M. Nedim Hazar,https://www.youtube.com/watch?v=Ho8vl1w7Bh8,Ho8vl1w7Bh8,Nur Neva ,2023-11-10,tr,otomatik,496_Atlantis'in_Yetimi_HİZMET_ve_Kapadokya_M._Nedim_Hazar.txt
