video başlığı,YouTube URL,video ID,kanal,tarih,dil,altyazı türü,TXT dosyası
"""7.5 Aylık Bebeğiyle..."" - Bir Meriç'ten Geçiş Hikayesi - Muhsin Çelebi",https://www.youtube.com/watch?v=kcP9EpO4eZE,kcP9EpO4eZE,Nur Neva ,2024-01-17,tr,otomatik,343_7.5_Aylık_Bebeğiyle..._Bir_Meriç'ten_Geçiş_Hikayesi_Muhsin_Çelebi.txt
"""Erdoğan Tüzün: Hocaefendi'yle Aramızdaki 100 Yıllık Mesafe 100 YIL DAHA..."" - Nevzat Ayvacı",https://www.youtube.com/watch?v=TNxaABxnOmk,TNxaABxnOmk,Nur Neva ,2024-01-16,tr,otomatik,344_Erdoğan_Tüzün_Hocaefendi'yle_Aramızdaki_100_Yıllık_Mesafe_100_YIL_DAHA..._Nevzat.txt
"""Muhterem Hocaefendi: Bugünün Dertlerine Çözüm ..."" - Mustafa Yeşil",https://www.youtube.com/watch?v=U5AUAXrALZE,U5AUAXrALZE,Nur Neva ,2024-01-16,tr,otomatik,345_Muhterem_Hocaefendi_Bugünün_Dertlerine_Çözüm_..._Mustafa_Yeşil.txt
"""Muhterem Hocaefendi: Einstein'ı Mı ..."" - Mustafa Yeşil",https://www.youtube.com/watch?v=7zQcEcwGfF0,7zQcEcwGfF0,Nur Neva ,2024-01-16,tr,otomatik,346_Muhterem_Hocaefendi_Einstein'ı_Mı_..._Mustafa_Yeşil.txt
"""Muhterem Hocaefendi Belki 100 Defa Belki 200 Defa..."" - Mustafa Yeşil",https://www.youtube.com/watch?v=XalG1GLB93o,XalG1GLB93o,Nur Neva ,2024-01-16,tr,otomatik,347_Muhterem_Hocaefendi_Belki_100_Defa_Belki_200_Defa..._Mustafa_Yeşil.txt
"""Muhterem Hocaefendi: Evrensel İnsani Değerler..."" - Mustafa Yeşil",https://www.youtube.com/watch?v=0g86fKj4GeQ,0g86fKj4GeQ,Nur Neva ,2024-01-16,tr,otomatik,348_Muhterem_Hocaefendi_Evrensel_İnsani_Değerler..._Mustafa_Yeşil.txt
"""Ölüyorsunuz, Gaspediliyorsunuz..."" - Mustafa Yeşil",https://www.youtube.com/watch?v=lFcDTY_X8E0,lFcDTY_X8E0,Nur Neva ,2024-01-16,tr,otomatik,"349_Ölüyorsunuz,_Gaspediliyorsunuz..._Mustafa_Yeşil.txt"
"""Muhterem Hocaefendi: Sosyal Medyada..."" - Mustafa Yeşil",https://www.youtube.com/watch?v=9r_H_GoDrlo,9r_H_GoDrlo,Nur Neva ,2024-01-16,tr,otomatik,350_Muhterem_Hocaefendi_Sosyal_Medyada..._Mustafa_Yeşil.txt
"""Muhterem Hocaefendi: Konuşarak Bitseydi..."" - Mustafa Yeşil",https://www.youtube.com/watch?v=eRZ0oPpP6qc,eRZ0oPpP6qc,Nur Neva ,2024-01-16,tr,otomatik,351_Muhterem_Hocaefendi_Konuşarak_Bitseydi..._Mustafa_Yeşil.txt
"""Muhterem Hocaefendi: Yüreğimiz Yansa Da..."" - Mustafa Yeşil",https://www.youtube.com/watch?v=n1YXGx46mJE,n1YXGx46mJE,Nur Neva ,2024-01-16,tr,otomatik,352_Muhterem_Hocaefendi_Yüreğimiz_Yansa_Da..._Mustafa_Yeşil.txt
